Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,media views,media engagements,,,,,,,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
1.00E+00,https://twitter.com/CountryDay/status/968574969495113729,"Catch @CountryDay girls tournament bball game in person tonight @ Wilmington 7:30 and see on TV! Sched below.
 2/28 Boys bball vs. Mariemont @ Western Brown 6:00 
 3/2 Wrestling Dist Champ @ Hobart Arena 3:00
@TonyJaccaci @CCDSHirsch @CCDSathletics @SSLuebbers @CCDSCoachRoss https://t.co/NMFFhr6okK",2018-02-27 19:54 +0000,387,23,0.059431525,1,0,2,6,0,0,7,7,7,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2.00E+00,https://twitter.com/CountryDay/status/968123749961740288,"They say to learn one new thing every day, so we’ll help you out. Learn why February only has 28 days right here: https://t.co/muDwHZ9i9U #TheMoreYouKnow #ccdslearning #trivia",2018-02-26 14:01 +0000,326,6,0.018404908,0,0,2,0,4,0,0,0,0,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3.00E+00,https://twitter.com/CountryDay/status/967398889404928000,"Meet Yvonne Green, Country Day Administrative Assistant for College Counseling and Testing Coordinator! She began working at CCDS in 2001 and we are so happy she did! Learn more about Mrs. Green here: https://t.co/pnCrD90yZ8 https://t.co/rVWF7S8JdF",2018-02-24 14:00 +0000,416,53,0.127403846,0,0,11,3,5,0,7,27,27,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4.00E+00,https://twitter.com/CountryDay/status/967002790852784129,"Congrats to @CountryDay students Connor Pohl who won the “That’s My Boy Award” -highest honor for football in SW Ohio and
Patrick Magarian who won the Munoz Award for the D6 Defensive Linemen of the Year @CCDSHirsch @TonyJaccaci @CCDSathletics @SSLuebbers https://t.co/muUXMjhpQf",2018-02-23 11:46 +0000,457,27,0.059080963,1,1,5,4,8,0,8,0,0,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.00E+00,https://twitter.com/CountryDay/status/966807776126291968,Ready to rock? Check out School of Rock – The Musical playing through March 4th at the Aronoff Center! The show features the musical theater’s first-ever kids rock band playing their instruments live on stage! For tickets: https://t.co/uSRfQEXACq,2018-02-22 22:51 +0000,302,2,0.006622517,0,0,0,0,2,0,0,0,0,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6.00E+00,https://twitter.com/CountryDay/status/965628424701300737,"CCDS is closed today in honor of President’s Day! #DidYouKnow The Federal Government recognizes the third Monday in February as a celebration of George Washington’s birthday, however, his birthday was actually February 22nd?",2018-02-19 16:45 +0000,355,7,0.01971831,0,0,1,4,0,0,2,0,0,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.00E+00,https://twitter.com/CountryDay/status/964517450523004928,@CountryDay grad Veena Sud '85 returns to TV with a new series. Read the article in the @nytimes @TonyJaccaci @CCDSHirsch @jencaquino1 @SSLuebbers @ThomasWLangloi1 @patdunn58 https://t.co/CMwLAg9zL6,2018-02-16 15:10 +0000,464,20,0.043103448,2,0,2,3,12,0,1,0,0,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.00E+00,https://twitter.com/CountryDay/status/964202834202800128,The latest inductees into the  @CountryDay #CumLaudeSociety #GreatHonor Congrats! @TonyJaccaci @SSLuebbers @CCDSHirsch @jencaquino1 https://t.co/NSsacSQCGM,2018-02-15 18:20 +0000,444,61,0.137387387,0,0,2,6,4,5,5,39,39,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9.00E+00,https://twitter.com/CountryDay/status/963880645574488065,#HappyValentinesDay from @CountryDay See the video Valentines Day Cards from 1st graders. https://t.co/nHj7D7lQhZ @TonyJaccaci @jencaquino1 @SSLuebbers @CCDSHirsch,2018-02-14 21:00 +0000,548,16,0.02919708,2,0,5,2,4,0,3,0,0,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.00E+01,https://twitter.com/CountryDay/status/963855251873959937,"Who do you love? LIKE this tweet to show CCDS students, faculty, and staff some love today! #ccds #valentinesday",2018-02-14 19:19 +0000,384,14,0.036458333,0,0,9,1,0,2,2,0,0,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.10E+01,https://twitter.com/CountryDay/status/963174801224404992,February 15 is the application deadline to apply for admission and tuition aid consideration @CountryDay for the 2018-19 school year. Apply online at https://t.co/SeKjbZiS5Q. @TonyJaccaci @jencaquino1 @SSLuebbers @CCDSHirsch @CCDSathletics @CCDSTheatre https://t.co/93YxK8xKd2,2018-02-12 22:15 +0000,567,23,0.040564374,1,0,5,1,1,0,0,15,15,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.20E+01,https://twitter.com/CountryDay/status/963105299853987840,"@CountryDay Diversity Club Coat Drive featured on front page of every edition  of @Enquirer hometown sect (NE, SE, NW, SW, Butler &amp; Warren) Saturday. 270 coats +hats, gloves and scarves were donated! Nice work students &amp; teachers! @TonyJaccaci @SS",2018-02-12 17:39 +0000,793,62,0.078184111,1,0,17,3,2,0,4,35,35,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.30E+01,https://twitter.com/CountryDay/status/961996980703715328,@CountryDay presents the US Musical #AChorusLine Plan to join us for one of the shows! @TonyJaccaci @CCDSHirsch @jencaquino1 @SSLuebbers @CCDSTheatre https://t.co/QGCLN5f5n8,2018-02-09 16:15 +0000,785,60,0.076433121,4,0,4,4,0,1,37,10,10,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.40E+01,https://twitter.com/CountryDay/status/961689588459884546,Our Admission Application Deadline is February 15! Click here to learn more: https://t.co/hMgmbgPNAp #ccdslearning #ccds #countryday,2018-02-08 19:53 +0000,362,2,0.005524862,0,0,0,0,1,0,1,0,0,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.50E+01,https://twitter.com/CountryDay/status/961191712877146112,"@CountryDay is closed today due to weather. A decision will be made later in the day regarding any scheduled events, including meetings, arts and athletics unless specifically mentioned here. @TonyJaccaci @CCDSHirsch @jencaquino1 @SSLuebbers @daperfecttab",2018-02-07 10:55 +0000,538,30,0.055762082,1,0,7,9,0,0,13,0,0,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.60E+01,https://twitter.com/CountryDay/status/960944128531075074,"See what Kaitlyn Morgan, Country Day '10 has been up to! Click here: https://t.co/pnCrD90yZ8 https://t.co/sANFjb6KIQ",2018-02-06 18:31 +0000,622,34,0.054662379,1,0,3,0,13,0,1,16,16,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.70E+01,https://twitter.com/CountryDay/status/960876132626153472,"Hop on over to @Country Day on INSTAGRAM to see our Prekindergarten program through the eyes of Cincinnati’s most famous class pet, Lola the Bunny #takeovertuesday #classpet @lolaclassbunny @TonyJaccaci @jencaquino1",2018-02-06 14:01 +0000,579,22,0.037996546,1,0,6,7,0,0,8,0,0,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
